htid,title,author,year,source
mdp.39015038910710,Prince Caspian,C. S. Lewis,1951,laure
uc1.31822012409462,The House of Many Worlds,"Sam Merwin, Jr.",1951,laure
mdp.39015041879738,Rogue Queen,L. Sprague de Camp,1951,laure
mdp.39015005003440,The Disappearance,Philip Wylie,1951,laure
uc1.32106002114301,Between Planets,Robert A. Heinlein,1951,laure
uc1.$b119906,The Great Idea,Henry Hazlitt,1951,laure
pst.000012561865,Time Will Run Back,Henry Hazlitt,1951,laure
uva.x000180645,Wine of the Dreamers,John D. MacDonald,1951,laure
mdp.39015007028650,Prelude to Space,Arthur C. Clarke,1951,laure
uva.x000890325,The City in the Sea,Wilson Tucker,1951,laure
mdp.39015027552135,Huon of the Horn,Andre Norton,1951,laure
nyp.33433039631514,Kinsmen of the Dragon,Stanley Mullen,1951,laure
nyp.33433039636943,Renaissance,Raymond F. Jones,1951,laure
mdp.39015015310124,The Devil in Velvet,John Dickson Carr,1951,laure
pst.000059688501,Foundation,Isaac Asimov,1951,laure
osu.32435053311148,City at World's End,Edmond Hamilton,1951,laure
inu.32000000648032,Hangsaman,Shirley Jackson,1951,laure
uc1.$b85959,The Fabulous Wink,Kem Bennett,1951,laure
uc1.$b322762,The Innocence of Pastor Müller,Carlo Beuf,1951,laure
mdp.39015030104650,The Age of Longing,Arthur Koestler,1951,laure
mdp.39015004042472,Miss Pickerell Goes to Mars,Ellen MacGregor,1951,laure
pst.000010058275,The Tritonian Ring,L. Sprague de Camp,1951,laure
mdp.39076002560766,The Valley of Song,Elizabeth Goudge,1951,laure
uc1.b3407016,Fire-Hunter,Jim Kjelgaard,1951,laure
mdp.39015079331230,The Dragons of Blueland,Ruth Stiles Gannett,1951,laure
cub.p101151608004,Murder in Millennium VI,Curme Gray,1951,laure
mdp.39015002701798,Sands of Mars,Arthur C. Clarke,1951,laure
uc1.32106001974267,The Sands of Mars,Arthur C. Clarke,1951,laure
mdp.39015003345777,Loneliest Girl in the World,Kenneth Fearing,1951,laure
uc1.$b569510,The Lost Years,Oscar Lewis,1951,laure
mdp.39015014858750,Another Kind,Anthony West,1951,laure
nyp.33433044846743,The Spirit Was Willing,Milton Luban,1951,laure
uva.x002178768,Tomorrow Sometimes Comes,F. G. Rayer,1951,laure
mdp.39015024637640,The Mousewife,Rumer Godden,1951,laure
mdp.39015018046915,The Last Revolution,Lord Dunsany,1951,laure
uc1.32106019113411,Porius,John Cowper Powys,1951,laure
mdp.39015012407493,The Innocent Eve,Robert Nathan,1951,laure
osu.32435007960081,The Man Who Knew the Date,Sophie Kerr,1951,laure
uc1.32106002143268,Tracy's Tiger,William Saroyan,1951,laure
mdp.39015000662042,The Dividing of Time,Elizabeth Sewell,1951,laure
wu.89097410054,Our Coming World,A. C. Michaud,1951,laure
mdp.39015050690083,The Adventures of the Ingenious Alfanhuí,Rafael Sánchez Ferlosio,1951,laure
mdp.39015011264416,Mr. Pudgins,Ruth Christoffer Carlsen,1951,laure
uc1.$b299833,The Enchanted: An Incredible Tale,Elizabeth Coatsworth,1951,laure
uiug.30112002534235,The Blonde Corinthian,Herbert T. Cobey,1951,laure
coo.31924013612399,The Sixth Column: A Singular Tale of Our Times,Peter Fleming,1951,laure
mdp.39015016434659,The Magician,F. L. Green,1951,laure
osu.32435063112650,A Trumpet in Zion,Carrie E. Gruhn,1951,laure
osu.32435068300821,Yankee Viking: A Saga of Love and Reincarnation,Livingston Hartley,1951,laure
mdp.39015014137478,The Man Who Sold Christmas,Rosalie Lieberman,1951,laure
inu.32000007350582,The Holy Sinner,Thomas Mann,1951,laure
uc1.$b106188,The Cistern and the Fountain,Jean Matheson,1951,laure
mdp.39015059413172,The Utmost Island,Henry Myers,1951,laure
uc1.b4437875,The Mutinous Wind: A Sorcerer's Tale,Elizabeth Reynard,1951,laure
uiug.30112001323010,The Demon's Mirror,James S. Wallerstein,1951,laure
uc1.$b103212,998,Edward Hyams,1951,laure
mdp.39015014863115,Shadows Move Among Them,Edgar Mittelhölzer,1951,laure
uc1.b4098783,The Story of Serapina,Anne H. White,1951,laure
uva.x000375755,Earthbound,Milton Lesser,1952,laure
mdp.39015002672551,The Voyage of the Dawn Treader,C. S. Lewis,1952,laure
pst.000012745111,Big Planet,Jack Vance,1952,laure
pst.000024653916,The Rolling Stones,Robert A. Heinlein,1952,laure
uiug.30112002628110,Limbo,Bernard Wolfe,1952,laure
mdp.39015001525966,"Star Man's Son, 2250 A.D.",Andre Norton,1952,laure
osu.32435059969030,The Legion of Time,Jack Williamson,1952,laure
uva.x000381497,The Starmen,Leigh Brackett,1952,laure
uc1.$b451268,The Haploids,Jerry Sohl,1952,laure
mdp.39015012435783,Vault of the Ages,Poul Anderson,1952,laure
inu.32000007715644,Player Piano,"Kurt Vonnegut, Jr.",1952,laure
ppt.ssfcbz201710000431,Utopia 14,"Kurt Vonnegut, Jr.",1952,laure
osu.32435060852589,The Long Loud Silence,Wilson Tucker,1952,laure
uc1.32106012317027,This Island Earth,Raymond F. Jones,1952,laure
mdp.39015005165686,Islands in the Sky,Arthur C. Clarke,1952,laure
mdp.39015038917210,The Space Ship Under the Apple Tree,Louis Slobodkin,1952,laure
uc1.b3346979,Double Jeopardy,Fletcher Pratt,1952,laure
mdp.39076006776020,The Borrowers,Mary Norton,1952,laure
mdp.39015000207590,Foundation and Empire,Isaac Asimov,1952,laure
umn.319510020970121,"My Journeys with Astargo: A Tale of Past, Present and Future",Perl T. Barnhouse,1952,laure
pst.000030490055,The Devil's Advocate,Taylor Caldwell,1952,laure
cub.p101151607016,Prisoner in the Skull,Charles Dye,1952,laure
uc1.31822011761178,The Nude in the Mirror,George Sylvester Viereck,1952,laure
uc1.b4095332,Gabriel and the Creatures,Gerald Heard,1952,laure
uga1.32108001551418,The Sound of His Horn,Sarban,1952,laure
mdp.39015008864657,Mission to the Stars,A. E. van Vogt,1952,laure
mdp.39015046384775,Mary Poppins in the Park,P. L. Travers,1952,laure
uva.x000165984,Son of the Stars,Raymond F. Jones,1952,laure
osu.32435052966413,Stairway to Danger,John Blaine,1952,laure
nyp.33433039655638,Marooned on Mars,Lester del Rey,1952,laure
mdp.39015066071617,Space Cat,Ruthven Todd,1952,laure
osu.32435060852241,Drome,John Martin Leahy,1952,laure
mdp.39015013787125,You Shall Know Them,Vercors,1952,laure
uc1.$b104146,Every Crazy Wind,John Wallace Pritchard,1952,laure
uva.x002031386,Star of Ill-Omen,Dennis Wheatley,1952,laure
uc1.$b244312,Brave Conquerors,Samuel Youd,1952,laure
uc1.$b301092,The Rift in the Lute,Noel Langley,1952,laure
uc1.$b105999,The Other One,Catherine Turney,1952,laure
mdp.39015048900990,The Rival Monster,Compton MacKenzie,1952,laure
wu.89054417753,Mount Analogue,René Daumal,1952,laure
uva.x000285562,Dangerous Waters,Islwyn Williams,1952,laure
pst.000045139833,The Chocolate Touch,Patrick Skene Catling,1952,laure
mdp.39015038593573,The Killer Inside Me,Jim Thompson,1952,laure
inu.39000004515966,The Palm-Wine Drinkard and His Dead Palm-Wine Tapster in the Deads' Town,Amos Tutuola,1952,laure
nyp.33433039711977,"We, the Few",John L. Hawkinson,1952,laure
mdp.39015014859618,The Dark Island,Henry Treece,1952,laure
osu.32435068251826,Pattern of a Man,Seymour Gottlieb,1952,laure
uc1.b4449602,The Sun Rises,Robert D. Stelle,1952,laure
mdp.39015013278174,The Pencil of God,Phillippe Thoby-Marcelin & Pierre Marcelin,1952,laure
uc1.$b75050,Flight to Africa,Johanna Moosdorf,1952,laure
uva.x004550150,Don Camillo and the Prodigal Son,Giovanni Guareschi,1952,laure
uc1.$b244264,His Fellow Men,Lord Dunsany,1952,laure
uva.x002077812,The Star Seekers,Milton Lesser,1953,laure
mdp.39015011886184,The Universe Maker,A. E. van Vogt,1953,laure
mdp.39015000626021,The Syndic,C. M. Kornbluth,1953,laure
osu.32435053315297,The Syndic,Cyril M. Kornbluth,1953,laure
pst.000007408274,The Sword of Rhiannon,Leigh Brackett,1953,laure
uc1.31210002153920,Starman Jones,Robert A. Heinlein,1953,laure
mdp.39015000549215,The Space Merchants,C. M. Kornbluth & Frederik Pohl,1953,laure
mdp.39015019147241,Second Stage Lensman,E. E. 'Doc' Smith,1953,laure
uva.x000305434,Second Stage Lensmen,"Edward E. Smith, Ph.D.",1953,laure
mdp.39015002672585,The Silver Chair,C. S. Lewis,1953,laure
mdp.39015013002491,The Kraken Wakes,John Wyndham,1953,laure
mdp.39015004853423,In the Wet,Nevil Shute,1953,laure
mdp.39015004784628,More Than Human,Theodore Sturgeon,1953,laure
mdp.39015004167840,The Lights in the Sky Are Stars,Fredric Brown,1953,laure
mdp.39015020645456,Fahrenheit 451,Ray Bradbury,1953,laure
